     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320    5781    22758    5781                    
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        0        9        9       17       17     0.842601     0.000000     0.000000     0.000000
      -1        0        0        9        9       19       19    -0.086793     0.000000     0.000000     0.000000
      -1        0        0        9        9       21       21    -1.547657     0.000000     0.000000     0.000000
      -1        0        0        9        9       23       23     0.792590     0.000000     0.000000     0.000000
      -1        0        0        9        9       25       25    -0.328616     0.000000     0.000000     0.000000
      -1        0        0        9        9       27       27     0.711830     0.000000     0.000000     0.000000
      -1        0        0        9        9       29       29     0.012328     0.000000     0.000000     0.000000
      -1        0        0        9       27        9       27     1.560155     0.000000     0.000000     0.000000
      -1        0        0        9       27       11       11     0.653913     0.000000     0.000000     0.000000
      -1        0        0        9       27       11       29    -0.593313     0.000000     0.000000     0.000000
      -1        0        0        9       27       13       13     0.316260     0.000000     0.000000     0.000000
      -1        0        0        9       27       15       15    -3.190727     0.000000     0.000000     0.000000
      -1        0        0        9       27       17       17    -1.442363     0.000000     0.000000     0.000000
      -1        0        0        9       27       19       19    -1.996195     0.000000     0.000000     0.000000
      -1        0        0        9       27       21       21     0.877291     0.000000     0.000000     0.000000
      -1        0        0        9       27       23       23     0.684797     0.000000     0.000000     0.000000
      -1        0        0        9       27       25       25     0.087946     0.000000     0.000000     0.000000
      -1        0        0        9       27       27       27     2.117996     0.000000     0.000000     0.000000
      -1        0        0        9       27       29       29     0.330985     0.000000     0.000000     0.000000
      -1        0        0       11       11       11       11    -1.729884     0.000000     0.000000     0.000000
      -1        0        0       11       11       11       29    -0.697654     0.000000     0.000000     0.000000
      -1        0        0       11       11       13       13     0.844868     0.000000     0.000000     0.000000
      -1        0        0       11       11       15       15     0.731677     0.000000     0.000000     0.000000
      -1        0        0       11       11       17       17    -0.021096     0.000000     0.000000     0.000000
      -1        0        0       11       11       19       19    -0.142704     0.000000     0.000000     0.000000
      -1        0        0       11       11       21       21    -0.336089     0.000000     0.000000     0.000000
      -1        0        0       11       11       23       23    -0.300607     0.000000     0.000000     0.000000
      -1        0        0       11       11       25       25     0.101940     0.000000     0.000000     0.000000
      -1        0        0       11       11       27       27     0.307556     0.000000     0.000000     0.000000
      -1        0        0       11       11       29       29    -0.182503     0.000000     0.000000     0.000000
      -1        0        0       11       29       11       29    -2.129813     0.000000     0.000000     0.000000
      -1        0        0       11       29       13       13    -0.218351     0.000000     0.000000     0.000000
      -1        0        0       11       29       15       15    -0.189097     0.000000     0.000000     0.000000
      -1        0        0       11       29       17       17    -3.212521     0.000000     0.000000     0.000000
      -1        0        0       11       29       19       19    -2.393349     0.000000     0.000000     0.000000
      -1        0        0       11       29       21       21     0.497973     0.000000     0.000000     0.000000
      -1        0        0       11       29       23       23     0.445401     0.000000     0.000000     0.000000
      -1        0        0       11       29       25       25     1.347613     0.000000     0.000000     0.000000
      -1        0        0       11       29       27       27     0.980161     0.000000     0.000000     0.000000
      -1        0        0       11       29       29       29    -0.418898     0.000000     0.000000     0.000000
      -1        0        0       13       13       13       13     0.923784     0.000000     0.000000     0.000000
      -1        0        0       13       13       15       15    -3.617344     0.000000     0.000000     0.000000
      -1        0        0       13       13       17       17    -0.251472     0.000000     0.000000     0.000000
      -1        0        0       13       13       19       19    -0.593993     0.000000     0.000000     0.000000
      -1        0        0       13       13       21       21    -3.934708     0.000000     0.000000     0.000000
