     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320           78000        311032          78000
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        0        6        6        8        8    -3.594983     0.000000     0.000000     0.000000
      -1        0        0        6        6        8       26    -1.882703     0.000000     0.000000     0.000000
      -1        0        0        6        6       10       10    -0.982290     0.000000     0.000000     0.000000
      -1        0        0        6        6       10       28    -0.180104     0.000000     0.000000     0.000000
      -1        0        0        6        6       12       12    -2.002564     0.000000     0.000000     0.000000
      -1        0        0        6        6       14       14     2.715985     0.000000     0.000000     0.000000
      -1        0        0        6        6       16       16    -0.408582     0.000000     0.000000     0.000000
      -1        0        0        6        6       18       18     0.356639     0.000000     0.000000     0.000000
      -1        0        0        6        6       20       20     0.585554     0.000000     0.000000     0.000000
      -1        0        0        6        6       22       22    -1.170466     0.000000     0.000000     0.000000
      -1        0        0        6        6       24       24     0.802757     0.000000     0.000000     0.000000
      -1        0        0        6        6       26       26    -0.716253     0.000000     0.000000     0.000000
      -1        0        0        6        6       28       28     0.148419     0.000000     0.000000     0.000000
      -1        0        0        6       24        6       24     0.461639     0.000000     0.000000     0.000000
      -1        0        0        6       24        8        8     0.058032     0.000000     0.000000     0.000000
      -1        0        0        6       24        8       26    -3.711103     0.000000     0.000000     0.000000
      -1        0        0        6       24       10       10     1.207857     0.000000     0.000000     0.000000
      -1        0        0        6       24       10       28    -0.312066     0.000000     0.000000     0.000000
      -1        0        0        6       24       12       12    -3.214479     0.000000     0.000000     0.000000
      -1        0        0        6       24       14       14    -0.628170     0.000000     0.000000     0.000000
      -1        0        0        6       24       16       16    -3.440597     0.000000     0.000000     0.000000
      -1        0        0        6       24       18       18    -1.064636     0.000000     0.000000     0.000000
      -1        0        0        6       24       20       20     1.022280     0.000000     0.000000     0.000000
      -1        0        0        6       24       22       22     1.309115     0.000000     0.000000     0.000000
      -1        0        0        6       24       24       24     1.905729     0.000000     0.000000     0.000000
      -1        0        0        6       24       26       26    -1.325650     0.000000     0.000000     0.000000
      -1        0        0        6       24       28       28     0.483790     0.000000     0.000000     0.000000
      -1        0        0        8        8        8        8     0.222298     0.000000     0.000000     0.000000
      -1        0        0        8        8        8       26     0.854370     0.000000     0.000000     0.000000
      -1        0        0        8        8       10       10    -1.033231     0.000000     0.000000     0.000000
      -1        0        0        8        8       10       28    -0.030196     0.000000     0.000000     0.000000
      -1        0        0        8        8       12       12     2.878527     0.000000     0.000000     0.000000
      -1        0        0        8        8       14       14    -2.132594     0.000000     0.000000     0.000000
      -1        0        0        8        8       16       16     0.788295     0.000000     0.000000     0.000000
      -1        0        0        8        8       18       18    -0.099041     0.000000     0.000000     0.000000
      -1        0        0        8        8       20       20    -1.538641     0.000000     0.000000     0.000000
      -1        0        0        8        8       22       22     0.788654     0.000000     0.000000     0.000000
      -1        0        0        8        8       24       24    -0.302553     0.000000     0.000000     0.000000
      -1        0        0        8        8       26       26     0.680670     0.000000     0.000000     0.000000
      -1        0        0        8        8       28       28     0.021884     0.000000     0.000000     0.000000
      -1        0        0        8       26        8       26     1.506100     0.000000     0.000000     0.000000
      -1        0        0        8       26       10       10     0.675714     0.000000     0.000000     0.000000
      -1        0        0        8       26       10       28    -0.568206     0.000000     0.000000     0.000000
      -1        0        0        8       26       12       12     0.305789     0.000000     0.000000     0.000000
      -1        0        0        8       26       14       14    -3.172217     0.000000     0.000000     0.000000
      -1        0        0        8       26       16       16    -1.428076     0.000000     0.000000     0.000000
      -1        0        0        8       26       18       18    -2.065264     0.000000     0.000000     0.000000
      -1        0        0        8       26       20       20     0.883795     0.000000     0.000000     0.000000
      -1        0        0        8       26       22       22     0.681769     0.000000     0.000000     0.000000
