6495 :    4   5   9  10      1   -0.972498	   4   5   9  10      1    2.008926
6496 :    4   5   0  11      1    1.481160	   4   5   0  11      1    2.297658
6497 :    4   5   8  11      1    0.972498	   4   5   8  11      1   -2.008926
6498 :    4   5  10  11      1    2.193270	   4   5  10  11      1    2.859936
6563 :    6   7  12  13      1   -2.105530	   6   7  12  13      1  -12.064630
6564 :    6   7   3  14      1    1.977630	   6   7   3  14      1    2.736576
6565 :    6   7  13  14      1    2.663180	   6   7  13  14      1    1.896530
6566 :    6   7   2  15      1   -1.977630	   6   7   2  15      1   -2.736576
6567 :    6   7  12  15      1   -2.663180	   6   7  12  15      1   -1.896530
6568 :    6   7  14  15      1   -1.791020	   6   7  14  15      1   -2.322448
6569 :    6   7   3  16      1    1.364390	   6   7   3  16      1    5.623970
6571 :    6   7  15  16      1   -0.829160	   6   7  15  16      1   -1.309160
6572 :    6   7   2  17      1   -1.364390	   6   7   2  17      1   -5.623970
6574 :    6   7  14  17      1    0.829160	   6   7  14  17      1    1.309160
6575 :    6   7  16  17      1   -1.278150	   6   7  16  17      1   -3.972144
6629 :    1   8   2  15      1   -8.072390	   1   8   2  15      1   -1.924220
6635 :    1   8   2  17      1   -0.763917	   1   8   2  17      1   -0.033620
6636 :    1   8   4  17      1    1.421122	   1   8   4  17      1    0.604625
6642 :    1   8   2  19      1    1.478463	   1   8   2  19      1    2.294960
6643 :    1   8   4  19      1    1.167321	   1   8   4  19      1   -1.142080
6689 :    7   8   3  14      1   -1.142500	   7   8   3  14      1   -1.852432
6691 :    7   8   2  15      1   -0.494185	   7   8   2  15      1    0.215747
6692 :    7   8  12  15      1  -11.431110	   7   8  12  15      1   -1.391190
6693 :    7   8  14  15      1    1.078030	   7   8  14  15      1    1.976026
6694 :    7   8   3  16      1   -0.571795	   7   8   3  16      1    0.187151
6695 :    7   8   5  16      1   -3.610631	   7   8   5  16      1    0.632010
6696 :    7   8  15  16      1   -1.224330	   7   8  15  16      1   -0.775331
6697 :    7   8   2  17      1   -1.494530	   7   8   2  17      1   -2.253476
6699 :    7   8  14  17      1    1.611110	   7   8  14  17      1    1.162111
6700 :    7   8  16  17      1    0.583101	   7   8  16  17      1    0.103101
6704 :    7   8   2  19      1   -3.309321	   7   8   2  19      1    0.933320
6706 :    7   8  16  19      1   -3.486167	   7   8  16  19      1   -0.802885
6750 :    0   9   3  14      1   -8.072390	   0   9   3  14      1   -1.924220
6755 :    0   9   3  16      1   -0.763917	   0   9   3  16      1   -0.033620
6756 :    0   9   5  16      1    1.421122	   0   9   5  16      1    0.604625
6762 :    0   9   3  18      1    1.478463	   0   9   3  18      1    2.294960
6763 :    0   9   5  18      1    1.167321	   0   9   5  18      1   -1.142080
6810 :    6   9   3  14      1   -0.494185	   6   9   3  14      1    0.215747
6811 :    6   9  13  14      1  -11.431110	   6   9  13  14      1   -1.391190
6812 :    6   9   2  15      1   -1.142500	   6   9   2  15      1   -1.852432
6814 :    6   9  14  15      1   -1.078030	   6   9  14  15      1   -1.976026
