 Nmax:           2
 hbar Omega:   40.000000000000000     
 mpi:   138.03027357350001     
 f^2:   8.0000000000000002E-002
 Lambda:Infinity
           Bra         Ket            ME_rel           ME_CM 
          26          15   0.0000000000000000        2.1698781842036611E-007
          27          15  -1.5595083612326315E-004   0.0000000000000000     
          30          15   0.0000000000000000        3.7583392612760408E-007
          32          15   0.0000000000000000        4.8519951227731981E-007
          91          15  -1.7269966257247621E-020   0.0000000000000000     
          25          16   0.0000000000000000        2.7123477302545771E-007
          28          16   1.7924848932055853E-004   0.0000000000000000     
          29          16   0.0000000000000000        4.6979240765950506E-007
          31          16   0.0000000000000000        6.0649939034664987E-007
          10          25   0.0000000000000000       -9.7039904197158522E-008
          11          25  -2.5342231120353630E-004   0.0000000000000000     
          14          25   0.0000000000000000       -1.6807804443109496E-007
          16          25   0.0000000000000000       -2.1698782231491361E-007
           9          26   0.0000000000000000       -1.2129988024644823E-007
          12          26  -8.0162359958210248E-005   0.0000000000000000     
          13          26   0.0000000000000000       -2.1009755553886871E-007
          15          26   0.0000000000000000       -2.7123477789364214E-007
           9          27  -2.5342231120353619E-004   0.0000000000000000     
          12          27   0.0000000000000000        5.0423413329328486E-007
          13          27  -4.9395853928133082E-004   0.0000000000000000     
          15          27   1.5595083332422191E-004   0.0000000000000000     
          50          27   2.9912458465677257E-020  -0.0000000000000000     
          57          27  -1.7269965947282266E-020  -0.0000000000000000     
          10          28  -8.0162359958210329E-005   0.0000000000000000     
          11          28   0.0000000000000000        6.3029266661660589E-007
          14          28  -1.3884528030224522E-004   0.0000000000000000     
          16          28  -1.7924848610336548E-004   0.0000000000000000     
          10          29   0.0000000000000000       -1.6807804443109496E-007
          11          29   4.9395853928133103E-004   0.0000000000000000     
          14          29   0.0000000000000000       -2.9111971259147558E-007
          16          29   0.0000000000000000       -3.7583393287315827E-007
          53          29   2.9912458465677263E-020  -0.0000000000000000     
           9          30   0.0000000000000000       -2.1009755553886871E-007
          12          30  -1.3884528030224508E-004   0.0000000000000000     
          13          30   0.0000000000000000       -3.6389964073934466E-007
          15          30   0.0000000000000000       -4.6979241609144785E-007
          10          31   0.0000000000000000       -2.1698782231491361E-007
          11          31   1.5595083332422153E-004   0.0000000000000000     
          14          31   0.0000000000000000       -3.7583393287315827E-007
          16          31   0.0000000000000000       -4.8519952098579281E-007
          53          31   1.7269965947282281E-020  -0.0000000000000000     
           9          32   0.0000000000000000       -2.7123477789364214E-007
          12          32  -1.7924848610336523E-004   0.0000000000000000     
          13          32   0.0000000000000000       -4.6979241609144785E-007
          15          32   0.0000000000000000       -6.0649940123224106E-007
          81          41   0.0000000000000000       -5.5580234188271463E-008
          83          41   0.0000000000000000       -1.4912247430127660E-007
          84          41  -1.3884528279427245E-004   0.0000000000000000     
          92          41   0.0000000000000000       -2.3949617366860136E-007
           6          42   5.4068779690608665E-005   0.0000000000000000     
          81          42   0.0000000000000000        3.0337790881008540E-008
          83          42   0.0000000000000000        8.1396678281095872E-008
          85          42  -5.8886091821206012E-005   0.0000000000000000     
          88          42   4.3646902815731857E-005   0.0000000000000000     
          92          42   0.0000000000000000        1.3072605647805919E-007
           5          43   0.0000000000000000        6.8071606772828509E-008
          79          43   0.0000000000000000       -5.5580234188271463E-008
          80          43   0.0000000000000000        3.0337790881008540E-008
          86          43  -1.4631344221808620E-004   0.0000000000000000     
          87          43   2.8518710074119458E-004   0.0000000000000000     
          89          43   9.0038257216113447E-005   0.0000000000000000     
          91          43   0.0000000000000000       -1.8973505612542363E-007
          93          43   0.0000000000000000       -4.9712472740133002E-007
           6          44   0.0000000000000000       -1.0544551280574865E-007
          83          44  -2.8518710074119469E-004   0.0000000000000000     
          84          44   0.0000000000000000        8.6095900680065072E-008
          85          44   0.0000000000000000       -4.6994394116732063E-008
          88          44   0.0000000000000000        1.2424085274730339E-007
          90          44   0.0000000000000000        3.6541472858183909E-007
          95          44   0.0000000000000000        1.6039425120297147E-007
          97          44   0.0000000000000000        4.7174838608545540E-007
           5          45   0.0000000000000000        1.8263698560971138E-007
          79          45   0.0000000000000000       -1.4912247430127660E-007
          80          45   0.0000000000000000        8.1396678281095872E-008
          82          45   2.8518710074119463E-004   0.0000000000000000     
          86          45  -2.8518710074119458E-004   0.0000000000000000     
          87          45   2.1947016332712920E-004   0.0000000000000000     
          89          45  -4.2461308798400261E-005   0.0000000000000000     
          91          45   0.0000000000000000       -4.8118275360891415E-007
          93          45   0.0000000000000000       -1.4152451582563667E-006
          94          45   4.2461308798400308E-005   0.0000000000000000     
          96          45  -3.4365991584304079E-004   0.0000000000000000     
          79          46  -1.3884528279427231E-004   0.0000000000000000     
          82          46   0.0000000000000000        8.6095900680065072E-008
          86          46   0.0000000000000000        9.6267789510662983E-008
          87          46   0.0000000000000000        1.4912247430127660E-007
          89          46   0.0000000000000000        1.8551293841977845E-007
          94          46   0.0000000000000000        1.9251628650469591E-007
          96          46   0.0000000000000000        2.3949617366860136E-007
           5          47   5.4068779690608760E-005   0.0000000000000000     
          80          47  -5.8886091821205883E-005   0.0000000000000000     
          82          47   0.0000000000000000       -4.6994394116732063E-008
          86          47   0.0000000000000000       -5.2546595195306581E-008
          87          47   0.0000000000000000       -8.1396678281095872E-008
          89          47   0.0000000000000000       -1.0125996793097871E-007
          91          47   4.3646902815731864E-005   0.0000000000000000     
          94          47   0.0000000000000000       -1.0508265980642912E-007
          96          47   0.0000000000000000       -1.3072605647805914E-007
           6          48   0.0000000000000000       -1.1790348148338875E-007
          81          48   1.8299225654658903E-004   0.0000000000000000     
          83          48   1.2323674442765758E-019   0.0000000000000000     
          84          48   0.0000000000000000        9.6267789510662983E-008
          85          48   0.0000000000000000       -5.2546595195306581E-008
          88          48   0.0000000000000000        1.4696814251309908E-007
          90          48   0.0000000000000000        3.8507115804265071E-007
          92          48  -2.7813670669182800E-004   0.0000000000000000     
          95          48   0.0000000000000000        1.8973505612542373E-007
          97          48   0.0000000000000000        4.9712472740133002E-007
           6          49   0.0000000000000000       -1.8263698560971138E-007
          81          49  -1.4230153513872243E-019   0.0000000000000000     
          83          49  -2.7509110746376991E-005   0.0000000000000000     
          84          49   0.0000000000000000        1.4912247430127660E-007
          85          49   0.0000000000000000       -8.1396678281095872E-008
          88          49   0.0000000000000000        2.1519146933401290E-007
          90          49   0.0000000000000000        6.3291687573773661E-007
          92          49   3.6131018058009634E-004   0.0000000000000000     
          95          49   0.0000000000000000        2.7781099232551198E-007
          97          49   0.0000000000000000        8.1709217308862714E-007
           5          50  -3.4064650506656258E-004   0.0000000000000000     
          80          50   4.3646902815731850E-005   0.0000000000000000     
          82          50   0.0000000000000000        1.3946597345691842E-007
